                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1571,                  3.404,                0.99504,                0.91612,                0.08333,                0.12422,                0.09834,                0.77376,                 2.9837,                0.96632,               5.88e-06,               5.88e-06,               5.88e-06
                      2,                 0.9115,                 3.1503,                0.90806,                0.91612,                0.08333,                0.12818,                 0.1021,                 0.7759,                 2.9793,                0.96702,             1.7634e-05,             1.7634e-05,             1.7634e-05
                      3,                0.99079,                 3.3636,                0.97783,                0.53002,                0.16085,                0.14793,                0.12154,                0.75381,                 2.9598,                0.96259,             2.9381e-05,             2.9381e-05,             2.9381e-05
                      4,                0.94388,                 3.1867,                 0.9353,                0.52994,                 0.1607,                0.15485,                0.12804,                0.71096,                 2.8128,                0.94921,             4.1119e-05,             4.1119e-05,             4.1119e-05
                      5,                0.90486,                 3.0963,                0.91547,                0.52987,                0.16056,                0.17557,                0.14593,                 0.6971,                 2.6416,                0.93872,              5.285e-05,              5.285e-05,              5.285e-05
                      6,                0.85526,                 2.9019,                 0.9154,                0.53043,                0.16176,                 0.2518,                0.22412,                0.69198,                 2.4953,                  0.937,             6.4573e-05,             6.4573e-05,             6.4573e-05
                      7,                  0.926,                 2.8038,                0.90716,                0.71299,                0.24847,                0.29591,                0.26239,                0.70795,                 2.3248,                0.94015,             7.6289e-05,             7.6289e-05,             7.6289e-05
                      8,                0.78832,                 2.7112,                0.89222,                0.70969,                   0.25,                0.30737,                0.27169,                0.71587,                 2.2675,                0.94265,             8.7996e-05,             8.7996e-05,             8.7996e-05
                      9,                0.93602,                 2.6763,                0.96507,                0.70568,                   0.25,                0.30768,                0.27471,                0.71779,                 2.2152,                0.94375,             9.9696e-05,             9.9696e-05,             9.9696e-05
                     10,                 0.8538,                  2.553,                0.90358,                0.70192,                   0.25,                0.27867,                0.24233,                0.72224,                 2.1387,                0.94469,             0.00011139,             0.00011139,             0.00011139
                     11,                0.90257,                 2.3809,                0.91408,                0.69293,                   0.25,                0.28986,                0.24671,                0.72566,                 2.0905,                0.94417,             0.00012307,             0.00012307,             0.00012307
