                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59029,                0.61125,                0.84836,                0.85855,                0.85272,                0.90024,                0.73807,                0.75073,                0.73962,                0.88663,                7.7e-06,                7.7e-06,                7.7e-06
                      2,                0.53447,                0.60571,                 0.8615,                 0.8597,                0.85295,                0.90024,                0.74879,                0.73935,                0.74619,                0.88372,             1.9244e-05,             1.9244e-05,             1.9244e-05
                      3,                0.48928,                0.62601,                0.81924,                 0.8718,                 0.8531,                0.90024,                0.72892,                0.75141,                0.73262,                0.88362,              3.078e-05,              3.078e-05,              3.078e-05
                      4,                0.52749,                0.63254,                0.82519,                0.89712,                0.85279,                0.90024,                 0.7201,                0.78134,                0.71369,                0.88366,             4.2308e-05,             4.2308e-05,             4.2308e-05
                      5,                 0.4492,                0.56249,                 0.8147,                0.91802,                0.85282,                0.90024,                0.72058,                0.78865,                0.71413,                0.88576,             5.3829e-05,             5.3829e-05,             5.3829e-05
                      6,                0.52163,                0.60169,                0.82744,                0.91695,                0.85288,                0.90024,                0.72306,                0.77825,                0.70425,                0.88423,             6.5342e-05,             6.5342e-05,             6.5342e-05
                      7,                0.53916,                0.60976,                0.83991,                0.91677,                0.85238,                0.90024,                0.70434,                0.78412,                0.71747,                0.88397,             7.6848e-05,             7.6848e-05,             7.6848e-05
                      8,                0.46154,                0.57616,                0.82069,                0.91428,                0.85192,                0.90024,                0.69911,                0.78525,                0.72291,                0.88317,             8.8345e-05,             8.8345e-05,             8.8345e-05
                      9,                 0.4626,                 0.5369,                0.83077,                0.89704,                0.85139,                0.90024,                0.70101,                0.78349,                0.70029,                0.88685,             9.9836e-05,             9.9836e-05,             9.9836e-05
                     10,                0.46812,                0.57636,                0.81918,                0.89475,                0.85073,                0.90024,                0.71514,                0.77555,                0.71125,                0.88766,             0.00011132,             0.00011132,             0.00011132
                     11,                0.47602,                0.62083,                0.86107,                0.90282,                0.84948,                0.90024,                0.72545,                0.78131,                0.71286,                0.88954,             0.00012279,             0.00012279,             0.00012279
                     12,                0.46116,                0.57125,                0.84403,                0.90943,                 0.8484,                0.90024,                0.72138,                0.78376,                0.70531,                0.88589,             0.00013426,             0.00013426,             0.00013426
                     13,                0.45117,                0.60656,                0.82009,                0.91657,                0.84703,                0.90024,                0.68824,                 0.8052,                0.73026,                0.88468,             0.00014572,             0.00014572,             0.00014572
                     14,                0.52019,                0.62151,                0.83797,                0.91613,                 0.8466,                0.90024,                0.67913,                0.82149,                0.75226,                0.88869,             0.00015717,             0.00015717,             0.00015717
                     15,                0.49655,                 0.6188,                0.82568,                0.90431,                0.84671,                0.90024,                0.69406,                 0.8086,                0.75597,                0.89255,             0.00016862,             0.00016862,             0.00016862
                     16,                0.47713,                0.56953,                0.82798,                0.90641,                0.84794,                0.90024,                0.69752,                0.78237,                0.74352,                0.88952,             0.00018005,             0.00018005,             0.00018005
                     17,                0.46105,                0.56339,                0.81343,                0.91784,                 0.8527,                0.90024,                0.73153,                0.77898,                0.73977,                0.88273,             0.00019148,             0.00019148,             0.00019148
                     18,                0.50017,                0.62187,                0.83092,                0.92359,                0.85311,                0.90024,                0.73082,                0.80027,                0.73352,                0.88455,             0.00020291,             0.00020291,             0.00020291
                     19,                0.52678,                0.57334,                0.83639,                0.91111,                 0.8545,                0.90024,                0.73013,                0.79642,                0.72647,                0.88449,             0.00021432,             0.00021432,             0.00021432
                     20,                0.45083,                0.56819,                0.82554,                0.83278,                0.85612,                0.90024,                0.73061,                0.77443,                0.71142,                0.88501,             0.00022573,             0.00022573,             0.00022573
                     21,                0.46206,                0.60201,                0.83177,                 0.8064,                 0.8562,                0.90024,                0.73699,                0.73368,                0.70355,                0.88484,             0.00023712,             0.00023712,             0.00023712
                     22,                0.47456,                0.56289,                0.82193,                0.75049,                0.85528,                0.90024,                0.73269,                0.73198,                0.71499,                0.88565,             0.00024852,             0.00024852,             0.00024852
                     23,                0.49296,                 0.5933,                0.83224,                 0.7474,                0.85441,                0.90024,                0.73225,                 0.7458,                0.72386,                0.88758,              0.0002599,              0.0002599,              0.0002599
                     24,                0.47652,                0.57085,                0.83192,                0.75681,                 0.8537,                0.90024,                0.72355,                0.76334,                0.72199,                0.88624,             0.00027128,             0.00027128,             0.00027128
                     25,                0.47163,                0.56867,                  0.825,                0.79444,                0.85187,                0.90024,                0.72303,                0.78468,                0.71771,                0.88508,             0.00028264,             0.00028264,             0.00028264
                     26,                0.46344,                0.55493,                0.83315,                0.80857,                0.85028,                0.90024,                0.71492,                0.79323,                0.66741,                0.88769,               0.000294,               0.000294,               0.000294
                     27,                0.42114,                 0.5634,                0.79996,                0.78406,                0.85019,                0.90024,                0.71265,                0.80545,                0.69666,                0.88981,             0.00030536,             0.00030536,             0.00030536
                     28,                0.52299,                0.58227,                0.81365,                0.75621,                 0.8519,                0.90024,                0.71329,                0.80904,                0.69643,                0.89233,              0.0003167,              0.0003167,              0.0003167
                     29,                0.44709,                0.53846,                0.81288,                0.75621,                 0.8519,                0.90024,                0.71329,                0.80904,                0.69643,                0.89233,             0.00032804,             0.00032804,             0.00032804
                     30,                0.50469,                0.60293,                0.85516,                0.75275,                0.85474,                0.90024,                0.72082,                0.81479,                0.72672,                0.88747,             0.00033937,             0.00033937,             0.00033937
                     31,                0.52037,                0.58746,                0.84531,                0.77128,                0.85714,                0.90024,                0.71675,                0.80889,                0.74896,                0.88958,             0.00035069,             0.00035069,             0.00035069
                     32,                0.49612,                0.60337,                0.83107,                0.83536,                0.85714,                0.90024,                0.72054,                0.78654,                 0.7378,                0.89345,             0.00036201,             0.00036201,             0.00036201
                     33,                0.47753,                0.60582,                0.83051,                0.83536,                0.85714,                0.90024,                0.72054,                0.78654,                 0.7378,                0.89345,             0.00037332,             0.00037332,             0.00037332
                     34,                0.48138,                0.60553,                0.82429,                0.85318,                0.85714,                0.90024,                0.72214,                0.78048,                0.72355,                0.89742,             0.00038081,             0.00038081,             0.00038081
                     35,                0.54238,                0.61478,                0.84597,                0.79175,                0.90476,                0.90024,                0.68837,                0.82096,                0.70872,                0.90411,             0.00038068,             0.00038068,             0.00038068
                     36,                0.50296,                0.57965,                0.84161,                0.82031,                0.85413,                0.90024,                0.69349,                0.84737,                0.71613,                0.90033,             0.00038055,             0.00038055,             0.00038055
                     37,                0.51496,                0.57596,                0.80548,                0.82031,                0.85413,                0.90024,                0.69349,                0.84737,                0.71613,                0.90033,             0.00038043,             0.00038043,             0.00038043
                     38,                0.48606,                0.55563,                0.82859,                0.81468,                0.85246,                0.90024,                0.69762,                  0.846,                0.73942,                0.89492,              0.0003803,              0.0003803,              0.0003803
                     39,                0.49692,                0.57016,                0.83544,                0.82166,                0.85103,                0.90024,                0.71184,                0.83031,                0.75505,                0.89034,             0.00038017,             0.00038017,             0.00038017
                     40,                0.48686,                0.56684,                0.82676,                0.82069,                0.85131,                0.90024,                0.71749,                0.82766,                0.75158,                0.89002,             0.00038005,             0.00038005,             0.00038005
                     41,                0.51884,                0.56502,                0.82004,                0.82069,                0.85131,                0.90024,                0.71749,                0.82766,                0.75158,                0.89002,             0.00037992,             0.00037992,             0.00037992
                     42,                0.46552,                0.58664,                0.82077,                0.81595,                0.85198,                0.90024,                0.72896,                0.80004,                0.74933,                0.89554,             0.00037979,             0.00037979,             0.00037979
